dataset,model_loss,latent_dim,mean_score,std_score,n
ts1_all_cells,scvi:nb,12,0.2666423960120172,,1
ts1_all_cells,scvi:nb,16,0.26436728992796177,0.006028594585519043,2
ts1_all_cells,scvi:nb,24,0.25609456573439837,0.0010970272563005103,2
ts1_all_cells,scvi:nb,32,0.2614299746312218,0.0156521940986673,2
ts2_lung,scvi:nb,4,0.3709785844589283,,1
ts2_lung,scvi:nb,6,0.3834108191233905,,1
ts2_lung,scvi:nb,8,0.4126876232588801,0.002311791607820763,2
ts2_lung,scvi:nb,10,0.3998796504740608,,1
ts2_lung,scvi:nb,12,0.430245140388703,,1
ts2_lung,scvi:nb,16,0.3895162910922433,0.03908637605759447,2
ts2_lung,scvi:nb,24,0.38796426594746836,0.02008169905052632,2
ts2_lung,scvi:nb,32,0.38706357269832725,0.009708339954795725,2
