model_loss,latent_dim,ari_mean,ari_std,ami_mean,sil_mean,sil_std,recon_mean,recon_std,n_seeds
vae:mse,12,0.0153733184959561,0.008478554162810683,0.03310116528356827,0.15667654573917383,0.053341506638795576,0.6667368593961182,0.004089186412643449,3
vae:mse,16,0.008409915231211132,0.006449559184274149,0.024334996574909135,0.14315406481424964,0.008163678536656097,0.6658135595775786,0.003878785867443661,3
vae:mse,20,0.00928037612487726,0.008592629085159712,0.028141635826024098,0.1798640539248784,0.04116833477490342,0.6674212779899801,0.0052126766354927455,3
vae:mse,24,0.007824552218337767,0.007411230791725576,0.021403293512976634,0.11758987357219057,0.01302690752866533,0.6676043225440932,0.0029515023489375155,3
vae:mse,32,0.020509312332571635,0.008120337092034177,0.043702643491248,0.12303114930788672,0.022958970058279196,0.6686637140310147,0.004576693362679684,3
vae:mse,48,0.014401433234767965,0.005455373969009261,0.047496926198908294,0.12354358285665508,0.01510933344049897,0.666989776241037,0.006038340886068622,3
vae:mse,64,0.013839485703893033,0.002198532856220252,0.03269113434356923,0.11029484122991556,0.006276324384842217,0.6680104768174328,0.0034635933675790428,3
vae:nb,2,0.23599004209308339,0.017798953695659533,0.40863413996752107,0.36875514189402264,0.015846074049932976,0.6617031095956563,0.01861030241523811,3
vae:nb,4,0.3035081335067514,0.06605781483106082,0.48980827418775563,0.2365648249785105,0.009960145849374293,0.6499739942096528,0.00838393379213588,3
vae:nb,6,0.2866436301873392,0.010571639569755374,0.4706487434284646,0.21358936528364816,0.011748224345642435,0.6506977207203634,0.011265327464099126,3
vae:nb,8,0.29020556290503524,0.05583833412714881,0.4876890006851435,0.2039922525485356,0.02740137868861622,0.6476987891435915,0.008774910383816507,3
vae:nb,10,0.30436444454766565,0.03435671448235619,0.48497340147428686,0.22310351332028702,0.013971264772577286,0.6493790387670636,0.010130883644767356,3
vae:nb,12,0.31107050910188855,0.02373604287824863,0.4947709921563653,0.21755937238534287,0.009184958985791155,0.6488856355203668,0.009345386400675,3
vae:nb,16,0.2880616290554601,0.0460186277136929,0.48065082119457964,0.2224857409795125,0.005626538058248564,0.6497931112882127,0.008649161961088924,3
vae:nb,20,0.32358622497160683,0.04132801769763112,0.5068953288751848,0.2101192474365234,0.0024252796097921775,0.6493985842872453,0.008995973005026714,3
vae:nb,24,0.32518015060488165,0.037440403906623274,0.5068637250800129,0.2131632715463638,0.011018598407436717,0.6493046475854113,0.008628257985349106,3
vae:nb,32,0.2877008238099416,0.006462346303343438,0.47801269056226897,0.21747093399365738,0.01594722895264053,0.6483556760682,0.01010226330480179,3
vae:nb,48,0.29811902544643215,0.031534613440918825,0.4967621254648782,0.22096493343512214,0.015382700960493805,0.6498883270518684,0.00880257312893587,3
vae:nb,64,0.304231024071653,0.030909471434660038,0.49346936648289086,0.21534300347169236,0.009967004090117332,0.6490870605021606,0.00894818951068202,3
vae:zinb,2,0.2556985835574825,0.01638618993401501,0.43101696799155637,0.37127018968264264,0.01883281502713949,0.6519544045275966,0.008949310589522497,3
vae:zinb,4,0.30113037006485893,0.040292265245899836,0.49289917316837223,0.23731338481108344,0.009902081773767201,0.6483997535938454,0.011087285581968875,3
vae:zinb,6,0.30661671791522305,0.04106647177561531,0.48913923982525226,0.21010533471902212,0.018829052842812572,0.6489159847644951,0.009836318668924553,3
vae:zinb,8,0.31053639709080855,0.046858408523251516,0.4889844303086523,0.21506926914056135,0.023517790350059343,0.6484502257008256,0.009327001847275557,3
vae:zinb,10,0.30758518358217285,0.04015020413992821,0.4942736910739551,0.20798373719056443,0.015072859612514748,0.6477719153822269,0.008725399750751829,3
vae:zinb,12,0.3136026462424863,0.015111568662576532,0.49294039603192785,0.21424088875452674,0.010887030819740432,0.6477838876919869,0.008290885696712274,3
vae:zinb,16,0.30408001799735523,0.0709555241673673,0.49806204845769825,0.22608864804108933,0.019448625946247793,0.6482128457999783,0.008995573092860818,3
vae:zinb,20,0.3034068685643936,0.0508893198456956,0.4980011686717098,0.21230375270048774,0.004458858045695303,0.6482134879144849,0.008774100613543383,3
vae:zinb,24,0.31312632798271794,0.0038978451678052307,0.5012125583371193,0.22990770141283667,0.012827133982328631,0.6477672171680046,0.009142061756721965,3
vae:zinb,32,0.29244602811146464,0.05465383559448218,0.4838873569997974,0.22161955634752906,0.004181544744778939,0.6483112661684244,0.010678710363811919,3
vae:zinb,48,0.3161533829657614,0.04381071215647838,0.4989352152813506,0.24005948007106778,0.021107094490267195,0.648288805770059,0.008306786107798062,3
vae:zinb,64,0.3307984201961305,0.03958374609586552,0.5088677472959037,0.23950298627217606,0.0009239713208211418,0.6482892553884905,0.009545032978949248,3
